rho,u,v,T,P
0.187546,885,0,216.7,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-885,0,216.7,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
0.187546,-nan,-nan,2.20813e-317,11664
